Order ID,Order Date,Customer Name,Region,Category,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,Claire Gute,South,Furniture,261.96,2,0,41.9136
CA-2016-152156,11/8/2016,Claire Gute,South,Furniture,731.94,3,0,219.582
CA-2016-138688,6/12/2016,Darrin Van Huff,West,Office Supplies,14.62,2,0,6.8714
US-2015-108966,10/11/2015,Sean O'Donnell,South,Furniture,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,Sean O'Donnell,South,Office Supplies,22.368,2,0.2,2.5164
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Furniture,48.86,7,0,14.1694
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Office Supplies,7.28,4,0,1.9656
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Technology,907.152,6,0.2,90.7152
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Office Supplies,18.504,3,0.2,5.7825
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Office Supplies,114.9,5,0,34.47
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Furniture,1706.184,9,0.2,85.3092
CA-2014-115812,6/9/2014,Brosina Hoffman,West,Technology,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,Andrew Allen,South,Office Supplies,15.552,3,0.2,5.4432
CA-2016-161389,12/5/2016,Irene Maddox,West,Office Supplies,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,Harold Pawlan,Central,Office Supplies,68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,Harold Pawlan,Central,Office Supplies,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,Pete Kriz,Central,Office Supplies,665.88,6,0,13.3176
CA-2014-167164,5/13/2014,Alejandro Grove,West,Office Supplies,55.5,2,0,9.99
CA-2014-143336,8/27/2014,Zuschuss Donatelli,West,Office Supplies,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,Zuschuss Donatelli,West,Technology,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,Zuschuss Donatelli,West,Office Supplies,22.72,4,0.2,7.384
CA-2016-137330,12/9/2016,Ken Black,Central,Office Supplies,19.46,7,0,5.0596
CA-2016-137330,12/9/2016,Ken Black,Central,Office Supplies,60.34,7,0,15.6884
